scenario,drifted_period,event_time,correlation_id,target_kind,target_value,fan_in_count,epoch_age_seconds,triggering_source_ip,ti_matched,signal_id_count,label
benign_shared_nat,False,2026-07-01T00:04:44.744002+00:00,21dd4bac-e835-4f7c-a5ad-ba82a520d108,user,user_1351,8,26600.18,203.0.113.93,False,2,0
benign_slow_natural,False,2026-07-01T00:09:03.724573+00:00,970517e1-4b21-43ad-890b-b8277561b3d7,user,user_2695,3,28877.49,203.0.113.226,False,3,0
benign_quiet,False,2026-07-01T00:10:09.650324+00:00,ea14be03-0343-40c1-8e1a-f17f0bac4366,user,user_1475,2,2296.91,203.0.113.198,False,3,0
benign_slow_natural,False,2026-07-01T00:16:38.591621+00:00,32f7009d-b52a-4109-8fdc-9a971e990f89,user,user_140,4,82671.53,203.0.113.100,False,2,0
loud_burst,False,2026-07-01T00:21:36.870231+00:00,0494ca59-39c9-4964-a49a-c214239cbceb,user,user_2359,,12.92,203.0.113.250,False,3,1
loud_burst,False,2026-07-01T00:22:16.399305+00:00,ce2ab7ad-c903-4932-842c-bb4b8e780b2a,user,user_2357,,234.18,203.0.113.166,False,3,1
benign_quiet,False,2026-07-01T00:28:49.643929+00:00,da4b23da-21e2-479e-aaee-f07bd840a014,user,user_1450,3,2493.11,203.0.113.104,False,3,0
benign_shared_nat,False,2026-07-01T00:30:21.953473+00:00,56361419-aa13-4e66-85f6-48208f732639,user,user_289,6,18625.46,203.0.113.119,False,3,0
benign_shared_nat,False,2026-07-01T00:33:02.182637+00:00,c8569ec5-0a78-4cdb-be57-e9fd6bb59ead,user,user_4797,9,2849.21,203.0.113.159,,3,0
ti_confirmed,False,2026-07-01T00:38:05.424479+00:00,a698a0b6-b842-4f00-9b21-2162f7d4eb86,user,user_3265,2,55889.01,203.0.113.24,True,3,1
ti_confirmed,False,2026-07-01T00:40:42.432032+00:00,d6b7a03b-c253-4614-8524-eb49f58f1f44,user,user_3840,5,53264.38,203.0.113.63,True,2,1
loud_burst,False,2026-07-01T00:44:45.996742+00:00,90e091c0-ab74-4c1a-94f9-2d0964efba26,user,user_3031,34,151.9,203.0.113.249,False,1,1
ambiguous_mid,False,2026-07-01T00:45:35.957884+00:00,02fc4932-1eb4-44b2-a66f-6d17543d55b1,user,user_3657,5,6444.82,203.0.113.124,False,1,1
benign_shared_nat,False,2026-07-01T00:48:00.067839+00:00,ec5215b9-31c6-4a37-9c8c-874aca428846,user,user_4786,5,23296.88,203.0.113.69,False,1,0
loud_burst,False,2026-07-01T00:50:33.085221+00:00,79c89a39-6266-418b-b0ea-ad6b0e88958d,user,user_312,,129.85,203.0.113.167,False,2,1
ti_confirmed,False,2026-07-01T00:53:38.642140+00:00,d6badef5-35ca-422b-96d3-4be9e1d96c4d,user,user_235,7,28280.21,203.0.113.224,True,1,1
benign_shared_nat,False,2026-07-01T00:56:00.656166+00:00,d4116b54-98a2-42c1-8ed7-ad921e051a83,user,user_4175,8,29462.77,203.0.113.99,False,1,0
ambiguous_mid,False,2026-07-01T01:01:39.711173+00:00,80576efc-d74c-4ddb-9791-c1f2134c3d61,user,user_4453,5,3146.57,203.0.113.116,False,1,0
loud_burst,False,2026-07-01T01:04:13.249870+00:00,9bb899fb-7f8e-4ad2-a40c-5f9693c5c773,user,user_1681,15,258.66,203.0.113.202,False,2,1
ambiguous_mid,False,2026-07-01T01:26:33.473506+00:00,d2a9a1cd-8cac-48d7-b444-d5536ae61d37,user,user_829,6,11185.54,203.0.113.178,True,2,0
benign_quiet,False,2026-07-01T01:27:07.645735+00:00,3cd5241b-8467-41b0-8e2e-250edfd3a209,user,user_1142,1,910.79,203.0.113.79,False,2,0
low_and_slow,False,2026-07-01T01:29:35.267818+00:00,d42ea9a2-0e3d-438f-96a6-cbf102087b11,user,user_1125,6,69958.02,203.0.113.73,True,2,1
ambiguous_mid,False,2026-07-01T01:48:41.115178+00:00,4931667b-a427-4112-a22a-7b700b41fb14,user,user_436,7,,203.0.113.199,False,2,0
low_and_slow,False,2026-07-01T01:50:29.217355+00:00,4c88f145-fbb2-477d-82e6-6ad0430b8df5,user,user_4642,22,79982.44,203.0.113.16,False,3,1
